"r","Intercept","log_C_it_lag1","log_P_it","log_Pn_it","log_Y_it"
0,0.278310608644335,0.969494239350073,-0.0901511651040508,0.0240347157757289,-0.0306788194664809
1,0.466752657899633,0.90533566308828,-0.225012894615702,0.0750805018415548,0.00917277673158878
2,0.887319134859354,0.581169445536915,-0.356666503254758,0.10924678791568,0.283690216435161
3,0.471941182330283,0.909939232715487,-0.195509648218433,0.0603734983431394,0.00299055674418014
4,2.11891828343005,0.363116602296202,-0.359140189794175,0.115337232108033,0.25237841718058
5,1.56267870119609,0.332782692717288,-0.343099909231057,0.047357625660112,0.395777789937483
6,1.07527462806866,0.427836443288044,-0.318533228959893,0.0456637377380815,0.395880959647002
7,1.9989433818746,0.334772645543936,-0.33052131969896,0.0420480016357772,0.299429626704978
8,3.49068656309828,0.0271813122918729,-0.333712592233667,0.0541632315935487,0.31744196635691
9,5.13638176682207,-0.158594906668753,-0.290235842729146,0.0912299746307355,0.166645425064758
10,6.00505932213582,-0.265394565208908,-0.246602313803351,0.0781059843122449,0.094003007815445
