"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2"
"Least Squares",100,10,1.01865277716079,0.0824459219270367,3.02862793923013,0.081629470192068
"Least Squares",100,20,1.01864867027023,0.0587806286796692,3.01727792048735,0.0583130454446785
"Least Squares",100,50,1.0114089598177,0.0382213999228273,3.01060338418408,0.0372791145652488
"Least Squares",100,100,1.00609322319644,0.0257087701811179,3.00636090485881,0.0256173392561802
"Least Squares",10,100,1.03757047304678,0.102846748725745,3.04341556954082,0.103414789485476
"Least Squares",20,100,1.02877102578762,0.0737239543657589,3.02695192304822,0.0745407730525471
"Least Squares",50,100,1.01200330418172,0.0415797408167523,3.01360694444685,0.0414844006937749
"Fixed Effects",100,10,0.994010756166086,0.0701535424644748,3.00431126690426,0.0636438148180886
"Fixed Effects",100,20,1.00172968531074,0.0462234233384027,3.00017940028534,0.0455368073463235
"Fixed Effects",100,50,1.00055509632694,0.0286975344908694,2.99977691100155,0.028221040118576
"Fixed Effects",100,100,0.999922261630106,0.0200328729327979,3.00056400503545,0.0200841204315796
"Fixed Effects",10,100,0.999273659245794,0.063955845742144,3.00234915961096,0.0645243270698277
"Fixed Effects",20,100,1.00272782669106,0.0439859842620607,3.00087011750127,0.0428926169301063
"Fixed Effects",50,100,0.998601175092128,0.0280224305292827,3.00068893126501,0.0280402266509287
